Symbol,Company,Grade,Current Price,Value,Growth,Momentum,VGM,Quant
AWK,American Water Works Company Inc.,3-Hold,155,D,D,C,D,37.5
AVY,Avery Dennison Corporation,3-Hold,182.39,B,B,D,B,62.5
AX,AXOS FINANCIAL INC,2-Buy,37.18,B,D,C,C,62.5
AWI,Armstrong World Industries Inc.,4-Sell,68.86,C,C,D,C,37.5
AXNX,Axonics Inc.,3-Hold,60.59,D,A,A,B,62.5
AXP,American Express Company,3-Hold,146.79,B,B,D,B,62.5
AXON,Axon Enterprise Inc,1-Strong Buy,169.4,F,C,B,F,50.0
AXS,Axis Capital Holdings Limited,3-Hold,54.57,A,B,B,A,75.0
AXTA,Axalta Coating Systems Ltd.,3-Hold,25.4,B,F,C,D,37.5
AXSM,Axsome Therapeutics Inc.,3-Hold,69.95,F,C,D,D,37.5
AZEK,The AZEK Company Inc.,3-Hold,21.58,D,C,D,D,37.5
AYX,Alteryx Inc.,3-Hold,49.59,D,F,F,F,25.0
AZN,AstraZeneca PLC,3-Hold,69.81,B,A,B,A,75.0
AY,Atlantica Sustainable Infrastructure PLC,3-Hold,25.75,B,B,A,A,75.0
BALY,Bally's Corporation,5-Strong Sell,19.42,B,B,C,B,37.5
BAH,Booz Allen Hamilton Holding Corporation,2-Buy,102.14,B,A,F,A,87.5
BABA,Alibaba Group Holding Limited,3-Hold,104.22,B,C,F,C,50.0
BALL,Ball Corporation,4-Sell,52.24,C,F,B,D,25.0
BAX,Baxter International Inc.,3-Hold,52.86,B,C,F,C,50.0
BA,The Boeing Company,3-Hold,202.43,D,B,F,C,50.0
BAC,Bank of America Corporation,3-Hold,33.96,F,F,F,F,25.0
BANC,Banc of California Inc.,4-Sell,16.15,C,D,D,D,25.0
BBY,Best Buy Co. Inc.,3-Hold,80.33,A,F,B,C,50.0
BBWI,Bath & Body Works Inc.,2-Buy,47.35,B,F,C,D,50.0
BCC,Boise Cascade L.L.C.,1-Strong Buy,67.03,A,A,D,A,100.0
BCE,BCE Inc.,3-Hold,44.77,C,C,D,C,50.0
AZTA,Azenta Inc.,3-Hold,60.65,D,F,D,F,25.0
BBW,BuildABear Workshop Inc.,1-Strong Buy,24.45,B,C,F,C,75.0
BDC,Belden Inc,2-Buy,73.36,A,B,D,B,75.0
BCRX,BioCryst Pharmaceuticals Inc.,2-Buy,11.43,D,B,C,C,62.5
BEAM,Beam Therapeutics Inc.,3-Hold,40.99,D,D,C,F,25.0
BECN,Beacon Roofing Supply Inc.,3-Hold,52.48,A,B,D,A,75.0
BCOR,Blucora Inc.,3-Hold,25.59,B,C,A,B,62.5
BC,Brunswick Corporation,4-Sell,75.15,A,D,B,B,50.0
BEN,Franklin Resources Inc.,4-Sell,27.3,B,B,D,B,50.0
BEKE,KE Holdings Inc. Sponsored ADR,3-Hold,17.88,D,B,F,D,37.5
BE,Bloom Energy Corporation,4-Sell,19.23,F,F,F,F,12.5
BERY,Berry Global Group Inc.,3-Hold,60.38,A,A,B,A,75.0
BEPC,Brookfield Renewable Corporation,4-Sell,27.91,A,D,B,B,50.0
BF.B,BrownForman Corporation,4-Sell,63.98,F,D,F,F,12.5
BAND,Bandwidth Inc.,1-Strong Buy,22.53,C,A,A,A,100.0
BFAM,Bright Horizons Family Solutions Inc.,3-Hold,67.45,C,D,F,F,25.0
BG,Bunge Limited,3-Hold,92.46,B,D,B,B,62.5
BHF,Brighthouse Financial Inc.,2-Buy,51.86,B,F,D,F,37.5
BGS,B&G Foods Inc.,5-Strong Sell,12,B,F,D,D,12.5
BFH,Bread Financial Holdings Inc.,3-Hold,40.74,A,C,A,A,75.0
BHLB,Berkshire Hills Bancorp Inc.,3-Hold,29.89,C,D,C,D,37.5
BIG,Big Lots Inc.,3-Hold,15.52,D,F,F,F,25.0
BIDU,Baidu Inc.,1-Strong Buy,131.42,B,D,F,F,50.0
BIIB,Biogen Inc.,3-Hold,269.02,B,F,B,C,50.0
BAP,Credicorp Ltd.,3-Hold,140.96,A,A,D,A,75.0
BGNE,BeiGene Ltd.,3-Hold,243.75,F,D,A,D,37.5
BJ,BJ's Wholesale Club Holdings Inc.,2-Buy,66.8,A,B,A,A,87.5
BJRI,BJ's Restaurants Inc.,3-Hold,27.56,B,F,A,C,50.0
BKH,Black Hills Corporation,3-Hold,69.51,C,D,D,D,37.5
BKNG,Booking Holdings Inc.,3-Hold,2132.44,C,A,C,A,75.0
BKI,Black Knight Financial Services Inc.,4-Sell,60.84,D,F,B,D,25.0
BKR,Baker Hughes Company,3-Hold,28.47,C,B,B,B,62.5
BLCO,Bausch  Lomb Corporation,4-Sell,16.32,B,D,F,C,37.5
BKU,BankUnited Inc.,3-Hold,33.02,B,B,C,B,62.5
BLDR,Builders FirstSource Inc.,3-Hold,65.26,A,A,F,A,75.0
BLD,TopBuild Corp.,3-Hold,159.47,B,B,F,B,62.5
BILI,Bilibili Inc. Sponsored ADR,2-Buy,29.06,D,B,F,C,62.5
BHP,BHP Group Limited Sponsored ADR,1-Strong Buy,63.11,B,C,B,B,87.5
BL,BlackLine,3-Hold,67.37,D,C,D,D,37.5
BLNK,Blink Charging Co.,3-Hold,11.03,F,F,C,F,25.0
BLMN,Bloomin' Brands Inc.,3-Hold,20.7,A,B,B,A,75.0
BMBL,Bumble Inc.,3-Hold,20.2,C,C,C,C,50.0
BMO,Bank Of Montreal,3-Hold,92.25,C,D,F,D,37.5
BMRN,BioMarin Pharmaceutical Inc.,3-Hold,106.39,C,A,A,A,75.0
BK,The Bank of New York Mellon Corporation,3-Hold,47.15,C,D,D,D,37.5
BMY,Bristol Myers Squibb Company,3-Hold,71.96,A,B,B,A,75.0
BN,Brookfield Corporation,3-Hold,32.14,C,D,D,D,37.5
BNS,Bank of Nova Scotia The,4-Sell,48.86,D,F,A,F,12.5
BLK,BlackRock Inc.,3-Hold,713.62,D,D,F,F,25.0
BOOT,Boot Barn Holdings Inc.,2-Buy,63.53,B,F,B,C,62.5
BP,BP p.l.c.,3-Hold,33.74,A,A,F,A,75.0
BOWL,Bowlero Corp.,2-Buy,13.42,B,C,A,A,87.5
BPMC,Blueprint Medicines Corporation,4-Sell,46.44,F,F,D,F,12.5
BR,Broadridge Financial Solutions Inc.,3-Hold,132.95,C,D,A,C,50.0
BLFS,BioLife Solutions Inc.,4-Sell,18.65,D,B,D,D,25.0
BRBR,BellRing Brands Inc.,3-Hold,24.81,B,A,C,A,75.0
BPOP,Popular Inc.,3-Hold,66.19,C,C,F,C,50.0
BRK.B,Berkshire Hathaway Inc.,1-Strong Buy,311.71,C,C,F,C,75.0
BRKR,Bruker Corporation,3-Hold,69.86,D,F,B,D,37.5
BROS,Dutch Bros Inc.,3-Hold,29.43,D,D,F,F,25.0
BOX,Box Inc.,3-Hold,30.68,D,A,C,B,62.5
BRX,Brixmor Property Group Inc.,3-Hold,22.53,C,C,D,D,37.5
BRKL,Brookline Bancorp Inc.,3-Hold,13.49,C,F,D,F,25.0
BRO,Brown & Brown Inc.,3-Hold,56.54,D,F,A,D,37.5
BRP,BRP Group Inc.,3-Hold,26.36,D,F,C,F,25.0
BNL,Broadstone Net Lease Inc.,2-Buy,16.46,C,C,A,C,62.5
BNTX,BioNTech SE Sponsored ADR,2-Buy,145.1,A,A,F,A,87.5
BDX,Becton Dickinson and Company,3-Hold,256.73,C,C,C,C,50.0
BSM,Black Stone Minerals L.P.,3-Hold,15.83,D,C,B,C,50.0
BSY,Bentley Systems Incorporated,4-Sell,35.37,D,B,A,B,50.0
BSX,Boston Scientific Corporation,2-Buy,46.35,C,D,D,D,50.0
BTI,British American Tobacco p.l.c.,3-Hold,39.96,C,C,B,C,50.0
BTU,Peabody Energy Corporation,3-Hold,27.08,A,A,D,A,75.0
BURL,Burlington Stores Inc.,3-Hold,218.49,C,D,D,D,37.5
BWA,BorgWarner Inc.,3-Hold,42.08,A,C,D,B,62.5
BSAC,Banco Santander Chile,3-Hold,15.49,C,F,B,F,25.0
BWXT,BWX Technologies Inc.,5-Strong Sell,57.08,F,D,C,F,0.0
BX,Blackstone Inc.,4-Sell,76.77,C,A,F,B,50.0
BXSL,Blackstone Secured Lending Fund,1-Strong Buy,22.18,F,C,A,D,62.5
BYD,Boyd Gaming Corporation,3-Hold,55.66,A,A,B,A,75.0
BYND,Beyond Meat Inc.,4-Sell,12.92,F,F,B,F,12.5
BZ,KANZHUN LIMITED Sponsored ADR,3-Hold,23.32,D,F,F,F,25.0
BXP,Boston Properties Inc.,4-Sell,64.95,C,D,A,D,25.0
C,Citigroup Inc.,3-Hold,46.45,B,C,F,C,50.0
BZH,Beazer Homes USA Inc.,5-Strong Sell,13.23,A,A,F,A,50.0
CAH,Cardinal Health Inc.,2-Buy,76.52,A,B,A,A,87.5
CABA,Cabaletta Bio Inc.,3-Hold,10.31,D,C,D,D,37.5
CAG,Conagra Brands,2-Buy,39.87,A,B,A,A,87.5
CALM,CalMaine Foods Inc.,1-Strong Buy,56.48,A,A,A,A,100.0
BRZE,Braze Inc.,3-Hold,24.85,F,B,A,C,50.0
CARG,CarGurus Inc.,3-Hold,14.39,B,A,B,A,75.0
CAL,Caleres Inc.,3-Hold,21.94,A,C,B,A,75.0
CAJ,Canon Inc.,4-Sell,21.3,B,D,A,B,50.0
CBOE,Cboe Global Markets Inc.,2-Buy,124.92,D,A,A,B,75.0
CAT,Caterpillar Inc.,2-Buy,239.29,B,B,C,B,75.0
CAR,Avis Budget Group Inc.,3-Hold,166.2,A,A,D,A,75.0
CAKE,The Cheesecake Factory Incorporated,3-Hold,33.85,B,C,D,C,50.0
CALX,Calix Inc,2-Buy,65.69,C,D,B,D,50.0
CB,Chubb Limited,4-Sell,222.31,B,B,C,B,50.0
CBRE,CBRE Group Inc.,5-Strong Sell,77.88,C,B,D,B,37.5
CARS,Cars.com Inc.,3-Hold,14.06,B,B,D,B,62.5
CBSH,Commerce Bancshares Inc.,3-Hold,67.4,D,D,C,D,37.5
CBT,Cabot Corporation,4-Sell,66.9,B,A,B,A,62.5
CATY,Cathay General Bancorp,4-Sell,40.11,C,C,D,C,37.5
CAE,CAE Inc,3-Hold,19.55,C,D,C,D,37.5
BUD,AnheuserBusch InBev SANV,3-Hold,60.07,C,D,B,C,50.0
BXMT,Blackstone Mortgage Trust Inc.,3-Hold,21.72,D,F,B,D,37.5
CCEP,CocaCola Europacific Partners,2-Buy,55.96,A,C,B,A,87.5
CBRL,Cracker Barrel Old Country Store Inc.,5-Strong Sell,96.62,D,C,D,C,25.0
CC,The Chemours Company,4-Sell,30.57,A,B,B,A,62.5
CARA,Cara Therapeutics Inc.,3-Hold,11.26,D,D,B,F,25.0
CCJ,Cameco Corporation,4-Sell,22.55,D,A,A,A,62.5
CDNA,CareDx Inc.,2-Buy,11.1,C,F,C,D,50.0
CCRN,Cross Country Healthcare Inc.,2-Buy,29.08,A,A,D,A,87.5
CDMO,Avid Bioservices Inc.,4-Sell,13.89,D,F,C,F,12.5
CDNS,Cadence Design Systems Inc.,3-Hold,156.65,D,A,A,B,62.5
CCOI,Cogent Communications Holdings Inc.,1-Strong Buy,58.11,F,C,F,F,50.0
CCS,Century Communities Inc.,4-Sell,53.95,B,B,F,B,50.0
CELH,Celsius Holdings Inc.,3-Hold,101.49,D,A,B,B,62.5
CEIX,Consol Energy Inc.,3-Hold,58.82,A,A,A,A,75.0
CEQP,Crestwood Equity Partners LP,3-Hold,26.67,B,A,B,A,75.0
CE,Celanese Corporation,3-Hold,108.99,A,C,F,B,62.5
CDW,CDW Corporation,3-Hold,179.71,B,A,C,A,75.0
CFR,CullenFrost Bankers Inc.,3-Hold,131.24,D,C,F,D,37.5
CERE,Cerevel Therapeutics Holdings Inc.,3-Hold,29.79,C,F,C,D,37.5
CFG,Citizens Financial Group Inc.,3-Hold,40.47,B,B,F,B,62.5
CCK,Crown Holdings Inc.,3-Hold,82.78,B,F,B,C,50.0
CG,Carlyle Group Inc.,3-Hold,29.98,B,F,F,F,25.0
CFLT,Confluent Inc.,3-Hold,18.6,F,D,A,D,37.5
CGBD,Carlyle Secured Lending Inc.,1-Strong Buy,14.5,F,F,B,F,50.0
CF,CF Industries Holdings Inc.,3-Hold,83.24,A,A,C,A,75.0
CDAY,Ceridian HCM,3-Hold,60.7,D,A,A,B,62.5
CHD,Church & Dwight Co. Inc.,3-Hold,81.93,D,D,D,F,25.0
CHEF,The Chefs' Warehouse Inc.,4-Sell,33.74,B,A,C,A,62.5
CHH,Choice Hotels International Inc.,3-Hold,112.2,C,B,B,B,62.5
CGNX,Cognex Corporation,3-Hold,48.25,F,D,D,F,25.0
CHKP,Check Point Software Technologies Ltd.,3-Hold,126.34,C,B,F,C,50.0
CHK,Chesapeake Energy Corporation,3-Hold,87,A,A,B,A,75.0
CHGG,Chegg Inc.,3-Hold,26,C,F,D,F,25.0
CHRD,Chord Energy Corporation,3-Hold,128.28,B,A,F,A,75.0
CHRW,C.H. Robinson Worldwide Inc.,5-Strong Sell,88.87,C,A,F,B,37.5
CHWY,Chewy,2-Buy,35.63,D,A,A,A,87.5
CHTR,Charter Communications Inc.,5-Strong Sell,360.97,A,B,B,A,50.0
CI,Cigna Corporation,3-Hold,303.86,A,B,A,A,75.0
CHX,ChampionX Corporation,1-Strong Buy,28.56,C,A,F,B,87.5
CIB,BanColombia S.A.,3-Hold,27.88,A,C,F,B,62.5
CINF,Cincinnati Financial Corporation,5-Strong Sell,105.93,C,B,C,C,25.0
CIEN,Ciena Corporation,3-Hold,49.67,C,D,A,C,50.0
CINC,CinCor Pharma Inc.,3-Hold,11.55,D,F,C,F,25.0
CIVI,Civitas Resources Inc.,3-Hold,55.03,A,A,D,A,75.0
CERT,Certara Inc.,3-Hold,16.07,C,C,D,C,50.0
CL,ColgatePalmolive Company,3-Hold,78.7,D,B,B,C,50.0
CLDX,Celldex Therapeutics Inc.,3-Hold,42.87,F,F,B,F,25.0
CLB,Core Laboratories N.V.,3-Hold,19.46,C,C,D,C,50.0
CLF,ClevelandCliffs Inc.,3-Hold,17.21,A,A,A,A,75.0
CLFD,Clearfield Inc.,1-Strong Buy,93.46,D,B,D,C,75.0
CLH,Clean Harbors Inc.,3-Hold,112.37,B,B,D,B,62.5
CLS,Celestica Inc.,3-Hold,11.2,A,B,D,A,75.0
CLX,The Clorox Company,3-Hold,141.98,D,C,A,C,50.0
CMA,Comerica Incorporated,3-Hold,66.25,B,D,F,D,37.5
CMC,Commercial Metals Company,1-Strong Buy,48.81,B,B,B,A,100.0
CM,Canadian Imperial Bank of Commerce,3-Hold,40.9,B,D,F,D,37.5
CMCSA,Comcast Corporation,3-Hold,36.7,A,B,A,A,75.0
CME,CME Group Inc.,3-Hold,170.24,F,D,A,D,37.5
CMI,Cummins Inc.,3-Hold,237.13,A,D,A,B,62.5
CNHI,CNH Industrial N.V.,2-Buy,16.2,A,F,D,C,62.5
CMG,Chipotle Mexican Grill Inc.,4-Sell,1364.79,D,A,A,B,50.0
CNMD,CONMED Corporation,3-Hold,92.65,C,D,F,D,37.5
CNC,Centene Corporation,3-Hold,77.05,A,A,A,A,75.0
CNI,Canadian National Railway Company,3-Hold,118.5,D,B,F,D,37.5
CNM,Core & Main Inc.,2-Buy,20.02,A,A,C,A,87.5
CNNE,Cannae Holdings Inc.,3-Hold,21.14,F,B,C,D,37.5
